PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
122095,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122094,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122096,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122097,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122099,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122098,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122100,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122101,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122102,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122103,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122104,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122105,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122106,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122107,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122108,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122109,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122110,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122111,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122112,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122113,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122114,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122115,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122116,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122117,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122118,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122119,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122120,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122121,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122122,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122123,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122124,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122125,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122126,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122127,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122128,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122129,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122130,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122131,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122132,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122133,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122134,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122135,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122136,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122137,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122138,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122139,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122140,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122141,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122142,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122143,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122144,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122145,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122146,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122147,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122148,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122149,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122150,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122151,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122152,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122153,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122154,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122155,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122156,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122157,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122158,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122159,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122160,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122161,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122162,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122163,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122164,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122165,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122166,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122167,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
